heal,healer
preach,pastor
preach,preacher
fight,soldier
fight,fighter
fight,warrior
act,actor
teach,teacher
write,writer
hunt,hunter
bake,baker
breed,breeder
paint,painter
sing,singer
train,trainer
train,coach
beg,beggar
build,builder
counsel,counselor
dance,dancer
design,designer
drive,driver
entertain,entertainer
invent,inventor
perform,performer
work,worker
